ANCHOR_ID;ANCHOR_TYPE;NAME;ANCHOR_ROLE;ANCHOR_CLASS;FLOOR;ENVIROMENT;AREA_TYPE;VERTICAL;X;Y;POLYGON;WALKABLE;NOTES;STATUS;ACCESS_WHEELCHAIR;ACCESS_STROLLER;ACCESS_LUGGAGE;PRE_SITE_QA;
ATM_F0;ATM;ATM West Banco Caja Rural;AMENITY;ATM;F0;OUTDOOR_OPEN_AIR;;FALSE;0.4926;0.7919;;FALSE;ATM West Banco Caja Rural;ACTIVE;TRUE;TRUE;TRUE;TRUE;
ATM1_F0;ATM;ATM Plaza De La Lonja;AMENITY;ATM;F0;OUTDOOR_OPEN_AIR;;FALSE;0.3626;0.1229;;FALSE;ATM Plaza De La Lonja;ACTIVE;TRUE;TRUE;TRUE;TRUE;
ATM2_F0;ATM;ATM BitBase Plaza Mayor;AMENITY;ATM;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7076;0.5529;;FALSE;ATM BitBase Plaza Mayor;ACTIVE;TRUE;TRUE;TRUE;TRUE;
ATM3_F0;ATM;ATM  ING Plaza De Las Flores ;AMENITY;ATM;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5676;0.7379;;FALSE;ATM  ING Plaza De Las Flores ;ACTIVE;TRUE;TRUE;TRUE;TRUE;
ATM4_F0;ATM;ATM Euronet Al Campo;AMENITY;ATM;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.3926;0.3689;;FALSE;ATM Euronet Al Campo;ACTIVE;TRUE;TRUE;TRUE;TRUE;
ATM5_F0;ATM;ATM CaixaBank  Plaza De La Lonja;AMENITY;ATM;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.3766;0.2209;;FALSE;ATM CaixaBank  Plaza De La Lonja;ACTIVE;TRUE;TRUE;TRUE;TRUE;
ATM6_F0;ATM;ATM Euronet Plaza De Las Flores;AMENITY;ATM;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6066;0.7389;;FALSE;ATM Euronet Plaza De Las Flores;ACTIVE;TRUE;TRUE;TRUE;TRUE;
BUS_STOP_1;NODE;Bus Stop;BUS_STOP;TRANSPORT;B1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7976;0.6579;;FALSE;Bus Stop;ACTIVE;TRUE;TRUE;TRUE;TRUE;
COR_COVERED_M1;CORRIDOR;Covered Corridor ;PATH;CORRIDOR;F0;INDOOR_ENCLOSED;MALL;FALSE;0.3666;0.2649;;TRUE;Covered Corridor ;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_COVERED_M2;CORRIDOR;Covered Corridor ;PATH;CORRIDOR;F0;INDOOR_ENCLOSED;MALL;FALSE;0.3746;0.3009;;TRUE;Covered Corridor ;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_COVERED_M3;CORRIDOR;Covered Corridor ;PATH;CORRIDOR;F0;INDOOR_ENCLOSED;MALL;FALSE;0.3836;0.3389;;TRUE;Covered Corridor ;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_COVERED_M4;CORRIDOR;Covered Corridor ;PATH;CORRIDOR;F0;INDOOR_ENCLOSED;MALL;FALSE;0.3906;0.3629;;TRUE;Covered Corridor ;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_COVERED_M5;CORRIDOR;Covered Corridor ;PATH;CORRIDOR;F0;INDOOR_ENCLOSED;MALL;FALSE;0.4006;0.4019;;TRUE;Covered Corridor ;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_COVERED_M6;CORRIDOR;Covered Corridor ;PATH;CORRIDOR;F0;INDOOR_ENCLOSED;MALL;FALSE;0.4176;0.4569;;TRUE;Covered Corridor ;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_COVERED_N;CORRIDOR;Covered Corridor ;PATH;CORRIDOR;F0;INDOOR_ENCLOSED;MALL;FALSE;0.3576;0.2249;;TRUE;Covered Corridor ;ACTIVE;TRUE;TRUE;TRUE;TRUE;
COR_COVERED_S;CORRIDOR;Covered Corridor ;PATH;CORRIDOR;F0;INDOOR_ENCLOSED;MALL;FALSE;0.4286;0.4899;;TRUE;Covered Corridor ;ACTIVE;TRUE;TRUE;TRUE;TRUE;
COR_EXT_E_M1;CORRIDOR;Corridor Outside East;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5476;0.1409;;TRUE;Corridor Outside East;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_E_M2;CORRIDOR;Corridor Outside East;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6216;0.1849;;TRUE;Corridor Outside East;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_E_M3;CORRIDOR;Corridor Outside East;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6676;0.2149;;TRUE;Corridor Outside East;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_E_M4;CORRIDOR;Corridor Outside East;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7406;0.2669;;TRUE;Corridor Outside East;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_E_M5;CORRIDOR;Corridor Outside East;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.8256;0.3229;;TRUE;Corridor Outside East;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_E_M6;CORRIDOR;Corridor Outside East;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.8946;0.3689;;TRUE;Corridor Outside East;ACTIVE;TRUE;TRUE;TRUE;FALSE;
