FROM;TO;BIDIRECTIONAL;CREATED_AT
COR_EXT_W_M5;COR_EXT_W_S;TRUE;2026-02-17T20:05:12.215Z
COR_EXT_W_M4;COR_EXT_W_M5;TRUE;2026-02-17T20:05:32.991Z
COR_EXT_W_M4;COR_EXT_W_M3;TRUE;2026-02-18T13:19:22.963Z
COR_EXT_W_M2;COR_EXT_W_M3;TRUE;2026-02-18T13:19:30.236Z
COR_EXT_W_M1;COR_EXT_W_M2;TRUE;2026-02-18T13:19:39.543Z
COR_EXT_W_M1;COR_EXT_W_N;TRUE;2026-02-18T13:19:59.001Z
EXT_GAS_STATION_PARKING;COR_EXT_W_N;TRUE;2026-02-18T13:20:04.729Z
COR_EXT_W_N;STORE_LEROYMERLIN_PICKUP;TRUE;2026-02-18T13:20:06.490Z
COR_EXT_W_M1;STR_W1_OUTSIDE_F0;TRUE;2026-02-18T13:20:16.591Z
COR_EXT_W_M2;ELV_W1_F0;TRUE;2026-02-18T13:20:25.690Z
STORE_LEROY_MERLIN;COR_EXT_W_M2;TRUE;2026-02-18T13:20:34.960Z
PARKING_LOT_W;COR_EXT_W_M4;TRUE;2026-02-18T13:25:24.359Z
COR_EXT_W_M4;NODE_EXT_W_ENTRANCE;TRUE;2026-02-18T13:25:29.334Z
NODE_EXT_W_ENTRANCE;ENT_W_MAIN;TRUE;2026-02-18T13:25:33.200Z
COR_EXT_W_M3;EV_CHARGING_1_F0;TRUE;2026-02-18T13:25:45.163Z
ENT_W_MAIN;COR_MAIN_W_W;TRUE;2026-02-18T13:26:50.796Z
COR_MAIN_W_M1;COR_MAIN_W_W;TRUE;2026-02-18T13:29:11.673Z
COR_MAIN_W_E;COR_MAIN_W_M1;TRUE;2026-02-18T13:37:34.210Z
COR_PLZ_S_W_F0;COR_MAIN_W_E;TRUE;2026-02-18T13:38:10.811Z
COR_PLZ_S_N_F0;COR_PLZ_S_W_F0;TRUE;2026-02-18T13:38:15.534Z
COR_PLZ_S_S_F0;COR_MAIN_W_E;TRUE;2026-02-18T13:39:15.568Z
COR_PLZ_S_E_F0;COR_PLZ_S_S_F0;TRUE;2026-02-18T13:39:24.706Z
COR_PLZ_S_E_F0;COR_PLZ_S_N_F0;TRUE;2026-02-18T13:39:31.431Z
COR_MAIN_W_E;ESC_W_F0;TRUE;2026-02-18T13:40:48.050Z
COR_MAIN_W_E;ATM3_F0;TRUE;2026-02-18T13:40:50.224Z
PLZ_S_C_F0;STR_W_F0;TRUE;2026-02-18T13:44:05.210Z
STR_W_F0;COR_PLZ_S_E_F0;TRUE;2026-02-18T13:46:32.228Z
COR_MAIN_W1_W;COR_PLZ_S_E_F0;TRUE;2026-02-18T13:46:41.742Z
COR_MAIN_W1_W;COR_PLZ_S_N_F0;TRUE;2026-02-18T13:46:46.278Z
COR_PLZ_S_S_F0;COR_PLZ_S_W_F0;TRUE;2026-02-18T13:47:00.168Z
COR_MAIN_W1_M1;COR_MAIN_W1_W;TRUE;2026-02-18T13:47:29.019Z
COR_MAIN_W1_M1;COR_MAIN_W1_E;TRUE;2026-02-18T13:47:46.329Z
COR_EXT_MAIN_ENTRANCE_M1;COR_EXT_MAIN_ENTRANCE_W;TRUE;2026-02-18T13:48:53.702Z
COR_EXT_MAIN_ENTRANCE_E;COR_EXT_MAIN_ENTRANCE_M1;TRUE;2026-02-18T13:48:55.971Z
COR_EXT_MAIN_ENTRANCE_M1;NODE_EXT_MAIN_ENTRANCE;TRUE;2026-02-18T13:49:58.506Z
NODE_EXT_MAIN_ENTRANCE;ENT_S_MAIN;TRUE;2026-02-18T13:50:00.399Z
ENT_S_MAIN;STR_C_MAIN_OUTSIDE_S_B1;TRUE;2026-02-18T13:50:46.227Z
ENT_S_MAIN;STR_C_MAIN_OUTSIDE_N_B1;TRUE;2026-02-18T13:50:49.012Z
TAXI_PICKUP_1;COR_EXT_MAIN_ENTRANCE_E;TRUE;2026-02-18T13:51:04.277Z
