FROM;TO;MODE;BIDIRECTIONAL;WHEELCHAIR;STROLLER;LUGGAGE;CREATED;STATUS
ATM_F0;COR_MAIN_W_W;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
ATM_F0;ENT_W_MAIN;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 11:15;OK
ATM1_F0;COR_PLZ_N_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
ATM2_F0;COR_PLZ_CROSS_WE_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
ATM3_F0;COR_MAIN_W_E;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
ATM4_F0;COR_COVERED_M1;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
ATM4_F0;COR_COVERED_S;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 11:56;OK
ATM5_F0;COR_PLZ_N_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
ATM6_F0;COR_PLZ_S_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
BUS_STOP_1;COR_EXT_MAIN_ENTRANCE_W;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
BUS_STOP_1;NODE_EXT_MAIN_ENTRANCE;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 12:02;OK
BUS_STOP_1;TAXI_PICKUP_1;WALK;TRUE;TRUE;TRUE;TRUE;09/02/2026 13:22;OK
COR_COVERED_M1;COR_COVERED_M2;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_COVERED_M2;COR_COVERED_S;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_COVERED_N;COR_COVERED_M1;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_COVERED_N;COR_COVERED_S;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_COVERED_N;COR_MAIN_N1_N;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_COVERED_N;COR_MAIN_W_E;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_COVERED_S;ATM4_F0;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 11:56;OK
COR_COVERED_S;COR_MAIN_N_N;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_COVERED_S;COR_MAIN_N1_S;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_COVERED_S;COR_MAIN_W_E;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_EXT_E_M1;COR_EXT_E_M2;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_E_M2;COR_EXT_E_M3;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_E_M3;COR_EXT_E_M4;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_E_M4;COR_EXT_E_M5;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_E_M5;COR_EXT_E_M6;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_E_M6;COR_EXT_E_M7;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_E_M7;COR_EXT_E_S;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_E_N;COR_EXT_E_M1;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_E_N;COR_MAIN_W_E;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_EXT_E_N;NODE_EXT_E_ENTRANCE;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 12:10;OK
COR_EXT_E_S;COR_MAIN_W_E;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_EXT_MAIN_ENTRANCE_E;COR_EXT_MAIN_ENTRANCE_W;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 12:19;OK
COR_EXT_MAIN_ENTRANCE_E;COR_EXT_N_MAIN_W;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 12:25;OK
COR_EXT_MAIN_ENTRANCE_E;COR_MAIN_W_E;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_EXT_MAIN_ENTRANCE_E;NODE_EXT_MAIN_ENTRANCE;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 12:19;OK
COR_EXT_MAIN_ENTRANCE_M1;COR_EXT_MAIN_ENTRANCE_E;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_MAIN_ENTRANCE_W;COR_EXT_MAIN_ENTRANCE_M1;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_MAIN_ENTRANCE_W;NODE_EXT_MAIN_ENTRANCE;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 14:05;OK
