ANCHOR_ID,ANCHOR_TYPE,NAME,ANCHOR_ROLE,ANCHOR_CLASS,FLOOR,ENVIROMENT,AREA_TYPE,VERTICAL,X,Y,POLYGON,WALKABLE,NOTES,STATUS,ACCESS_WHEELCHAIR,ACCESS_STROLLER,ACCESS_LUGGAGE,PRE_SITE_QA,
ATM_F0,ATM,ATM West Banco Caja Rural,AMENITY,ATM,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4926,0.7869,,Falso,ATM West Banco Caja Rural,ACTIVE,TRUE,TRUE,TRUE,Verdadero,
ATM1_F0,ATM,ATM Plaza De La Lonja,AMENITY,ATM,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.3626,0.1179,,Falso,ATM Plaza De La Lonja,ACTIVE,TRUE,TRUE,TRUE,Verdadero,
ATM2_F0,ATM,ATM BitBase Plaza Mayor,AMENITY,ATM,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.7076,0.5479,,Falso,ATM BitBase Plaza Mayor,ACTIVE,TRUE,TRUE,TRUE,Verdadero,
ATM3_F0,ATM,ATM  ING Plaza De Las Flores ,AMENITY,ATM,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5676,0.7329,,Falso,ATM  ING Plaza De Las Flores ,ACTIVE,TRUE,TRUE,TRUE,Verdadero,
ATM4_F0,ATM,ATM Euronet Al Campo,AMENITY,ATM,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.3926,0.3639,,Falso,ATM Euronet Al Campo,ACTIVE,TRUE,TRUE,TRUE,Verdadero,
ATM5_F0,ATM,ATM CaixaBank  Plaza De La Lonja,AMENITY,ATM,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.3766,0.2159,,Falso,ATM CaixaBank  Plaza De La Lonja,ACTIVE,TRUE,TRUE,TRUE,Verdadero,
ATM6_F0,ATM,ATM Euronet Plaza De Las Flores,AMENITY,ATM,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6066,0.7339,,Falso,ATM Euronet Plaza De Las Flores,ACTIVE,TRUE,TRUE,TRUE,Verdadero,
BUS_STOP_1,NODE,Bus Stop,BUS_STOP,TRANSPORT,B1,OUTDOOR_OPEN_AIR,MALL,Falso,0.7976,0.6529,,Falso,Bus Stop,ACTIVE,TRUE,TRUE,TRUE,Verdadero,
COR_COVERED_M1,CORRIDOR,Covered Corridor ,PATH,CORRIDOR,F0,INDOOR_ENCLOSED,MALL,Falso,0.3666,0.2599,,Verdadero,Covered Corridor ,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_COVERED_M2,CORRIDOR,Covered Corridor ,PATH,CORRIDOR,F0,INDOOR_ENCLOSED,MALL,Falso,0.3746,0.2959,,Verdadero,Covered Corridor ,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_COVERED_M3,CORRIDOR,Covered Corridor ,PATH,CORRIDOR,F0,INDOOR_ENCLOSED,MALL,Falso,0.3836,0.3339,,Verdadero,Covered Corridor ,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_COVERED_M4,CORRIDOR,Covered Corridor ,PATH,CORRIDOR,F0,INDOOR_ENCLOSED,MALL,Falso,0.3906,0.3579,,Verdadero,Covered Corridor ,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_COVERED_M5,CORRIDOR,Covered Corridor ,PATH,CORRIDOR,F0,INDOOR_ENCLOSED,MALL,Falso,0.4006,0.3969,,Verdadero,Covered Corridor ,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_COVERED_M6,CORRIDOR,Covered Corridor ,PATH,CORRIDOR,F0,INDOOR_ENCLOSED,MALL,Falso,0.4176,0.4519,,Verdadero,Covered Corridor ,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_COVERED_N,CORRIDOR,Covered Corridor ,PATH,CORRIDOR,F0,INDOOR_ENCLOSED,MALL,Falso,0.3576,0.2199,,Verdadero,Covered Corridor ,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_COVERED_S,CORRIDOR,Covered Corridor ,PATH,CORRIDOR,F0,INDOOR_ENCLOSED,MALL,Falso,0.4286,0.4849,,Verdadero,Covered Corridor ,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_EXT_E_M1,CORRIDOR,Corridor Outside East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5476,0.1359,,Verdadero,Corridor Outside East,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_E_M2,CORRIDOR,Corridor Outside East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6216,0.1799,,Verdadero,Corridor Outside East,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_E_M3,CORRIDOR,Corridor Outside East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6676,0.2099,,Verdadero,Corridor Outside East,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_E_M4,CORRIDOR,Corridor Outside East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.7406,0.2619,,Verdadero,Corridor Outside East,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_E_M5,CORRIDOR,Corridor Outside East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.8256,0.3179,,Verdadero,Corridor Outside East,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_E_M6,CORRIDOR,Corridor Outside East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.8946,0.3639,,Verdadero,Corridor Outside East,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_E_M7,CORRIDOR,Corridor Outside East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.9526,0.3999,,Verdadero,Corridor Outside East,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_E_N,CORRIDOR,Corridor Outside East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5026,0.0999,,Verdadero,Corridor Outside East,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_EXT_E_S,CORRIDOR,Corridor Outside East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.972,0.4129,,Verdadero,Corridor Outside East,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_EXT_MAIN_ENTRANCE_E,CORRIDOR,Corridor Outside Main Entrance,PATH,CORRIDOR,B1,OUTDOOR_OPEN_AIR,MALL,Falso,0.8126,0.5629,,Verdadero,Corridor Outside Main Entrance,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_EXT_MAIN_ENTRANCE_M1,CORRIDOR,Corridor Outside Main Entrance,PATH,CORRIDOR,B1,OUTDOOR_OPEN_AIR,MALL,Falso,0.7856,0.6029,,Verdadero,Corridor Outside Main Entrance,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_MAIN_ENTRANCE_W,CORRIDOR,Corridor Outside Main Entrance,PATH,CORRIDOR,B1,OUTDOOR_OPEN_AIR,MALL,Falso,0.7586,0.6429,,Verdadero,Corridor Outside Main Entrance,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_EXT_N_MAIN_E,CORRIDOR,Corridor Outside North Main,PATH,CORRIDOR,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.18,0.0969,,Verdadero,Corridor Outside North Main,ACTIVE,TRUE,Verdadero,Verdadero,Verdadero,
COR_EXT_N_MAIN_M1,CORRIDOR,Corridor Outside North Main,PATH,CORRIDOR,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.248,0.0819,,Verdadero,Corridor Outside North Main,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_N_MAIN_M2,CORRIDOR,Corridor Outside North Main,PATH,CORRIDOR,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.335,0.0619,,Verdadero,Corridor Outside North Main,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_N_MAIN_W,CORRIDOR,Corridor Outside North Main,PATH,CORRIDOR,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.393,0.0479,,Verdadero,Corridor Outside North Main,ACTIVE,TRUE,Verdadero,Verdadero,Verdadero,
COR_EXT_W_M1,CORRIDOR,Corridor Outside West,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.3146,0.7219,,Verdadero,Corridor Outside West,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
