FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS
BUS_STOP_1,COR_EXT_MAIN_ENTRANCE_W,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T13:50:00.000Z,ACTIVE
CAR_WASH_B1,PARK_RING_W_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-03-03T22:06:19Z,ACTIVE
COR_COVERED_M1,COR_COVERED_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:25.107Z,ACTIVE
COR_COVERED_M3,COR_COVERED_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:29.046Z,ACTIVE
COR_COVERED_M4,ATM4_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:35.301Z,ACTIVE
COR_COVERED_M4,COR_COVERED_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:33.585Z,ACTIVE
COR_COVERED_M4,COR_COVERED_M5,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:37.057Z,ACTIVE
COR_COVERED_M4,COR_MAIN_N1_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:41.832Z,ACTIVE
COR_COVERED_M5,COR_COVERED_M6,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:16:18.655Z,ACTIVE
COR_COVERED_M6,COR_COVERED_S,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:16:20.926Z,ACTIVE
COR_COVERED_N,COR_COVERED_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:18.862Z,ACTIVE
COR_COVERED_N,COR_PLZ_N_S_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:00.659Z,ACTIVE
COR_COVERED_S,COR_PLZ_W_S_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:16:46.728Z,ACTIVE
COR_EXT_E_M1,COR_EXT_E_N,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:08:46.701Z,ACTIVE
COR_EXT_E_M2,COR_EXT_E_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:08:44.872Z,ACTIVE
COR_EXT_E_M3,COR_EXT_E_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:08:40.374Z,ACTIVE
COR_EXT_E_M3,COR_EXT_E_M4,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:08:33.929Z,ACTIVE
COR_EXT_E_M5,COR_EXT_E_M4,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:08:03.785Z,ACTIVE
COR_EXT_E_M6,COR_EXT_E_M5,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:07:59.320Z,ACTIVE
COR_EXT_E_M7,COR_EXT_E_M6,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:07:56.205Z,ACTIVE
COR_EXT_E_S,COR_EXT_E_M7,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:07:54.907Z,ACTIVE
