ANCHOR_ID,ANCHOR_TYPE,NAME,ANCHOR_ROLE,ANCHOR_CLASS,FLOOR,FLOOR_TYPE,VERTICAL,X,Y,POLYGON,WALKABLE,NOTES,STATUS,ACCESS_WHEELCHAIR,ACCESS_STROLLER,ACCESS_LUGGAGE,PRE_SITE_QA,
ATM_F0,ATM,ATM West Banco Caja Rural,AMENITY,ATM,F0,MALL,FALSE,0.4926,0.7919,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ATM1_F0,ATM,ATM Plaza De La Lonja,AMENITY,ATM,F0,MALL,FALSE,0.3626,0.1229,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ATM2_F0,ATM,ATM BitBase Plaza Mayor,AMENITY,ATM,F0,MALL,FALSE,0.7076,0.5529,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ATM3_F0,ATM,ATM  ING Plaza De Las Flores ,AMENITY,ATM,F0,MALL,FALSE,0.5676,0.7379,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ATM4_F0,ATM,ATM Euronet Al Campo,AMENITY,ATM,F0,MALL,FALSE,0.3926,0.3689,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ATM5_F0,ATM,ATM CaixaBank  Plaza De La Lonja,AMENITY,ATM,F0,MALL,FALSE,0.3766,0.2209,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ATM6_F0,ATM,ATM Euronet Plaza De Las Flores,AMENITY,ATM,F0,MALL,FALSE,0.6066,0.7389,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
BUS_STOP_1,NODE,Bus Stop,BUS_STOP,TRANSPORT,F0,outdoor,FALSE,0.7976,0.6579,,FALSE,Public bus stop,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_COVERED_N,CORRIDOR,Covered Corridor North,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.3576,0.2249,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_COVERED_S,CORRIDOR,Covered Corridor South,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.4286,0.4899,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_EXT_E_N,CORRIDOR,Corridor Outside East,CORRIDOR,CORRIDOR,F3,GROUND,FALSE,0.5026,0.1049,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_EXT_E_S,CORRIDOR,Corridor Outside East,CORRIDOR,CORRIDOR,F4,GROUND,FALSE,0.972,0.4179,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_EXT_MAIN_ENTRANCE_E,CORRIDOR,Corridor Outside West,CORRIDOR,CORRIDOR,F2,GROUND,FALSE,0.8126,0.5679,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_EXT_MAIN_ENTRANCE_W,CORRIDOR,Corridor Outside West,CORRIDOR,CORRIDOR,F2,GROUND,FALSE,0.7586,0.6479,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_EXT_NORTH_MAIN_E,CORRIDOR,Corridor Outside North Main,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.18,0.1019,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_EXT_NORTH_MAIN_W,CORRIDOR,Corridor Outside North Main,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.393,0.0529,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_EXT_W_N,CORRIDOR,Corridor Outside West,CORRIDOR,CORRIDOR,F1,GROUND,FALSE,0.2746,0.6909,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_EXT_W_S,CORRIDOR,Corridor Outside West,CORRIDOR,CORRIDOR,F2,GROUND,FALSE,0.6506,0.9279,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_E_N,CORRIDOR,Avenida de Mediterraneo,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.6286,0.3139,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_E_S,CORRIDOR,Avenida de Mediterraneo,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.6646,0.4719,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_E1_N,CORRIDOR,Avenida de Mediterraneo,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.4146,0.1599,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_E1_S,CORRIDOR,Avenida de Mediterraneo,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.5866,0.2589,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_E2_N,CORRIDOR,Corridor East Short,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.6506,0.2399,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_E2_S,CORRIDOR,Corridor East Short,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.6346,0.2639,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_N_N,CORRIDOR,Paseo del Azahar,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.4986,0.4769,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_N_S,CORRIDOR,Paseo del Azahar,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.6016,0.5429,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_N1_N,CORRIDOR,Paseo de la Vega,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.4226,0.2289,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_N1_S,CORRIDOR,Paseo de la Vega,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.4726,0.4569,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_W_E,CORRIDOR,West Corridor,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.5626,0.7499,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_W_W,CORRIDOR,West Corridor,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.5076,0.8119,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_W1_E,CORRIDOR,West Corridor,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.6566,0.5879,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
COR_MAIN_W1_W,CORRIDOR,West Corridor,CORRIDOR,CORRIDOR,F0,GROUND,FALSE,0.5986,0.6889,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ELV_CENTER_B1,ELEVATOR,Central Elevator,VERTICAL,TRANSPORT,B1,BASEMENT,TRUE,0.7326,0.5909,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ELV_CENTER_F0,ELEVATOR,Central Elevator,VERTICAL,TRANSPORT,F0,GROUND,TRUE,0.7326,0.5909,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ELV_CENTER_F1,ELEVATOR,Central Elevator,VERTICAL,TRANSPORT,F1,UPPER,TRUE,0.7326,0.5909,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ELV_N_F0,ELEVATOR,North Elevator,VERTICAL,TRANSPORT,F0,GROUND,TRUE,0.3586,0.1209,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ELV_N_F1,ELEVATOR,North Elevator,VERTICAL,TRANSPORT,F1,UPPER,TRUE,0.3586,0.1209,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ELV_W_B1,ELEVATOR,West Elevator Decathlon,VERTICAL,TRANSPORT,B1,BASEMENT,TRUE,0.6006,0.8949,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ELV_W_F0,ELEVATOR,West Elevator Decathlon,VERTICAL,TRANSPORT,F0,GROUND,TRUE,0.6006,0.8949,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ELV_W1_B1,ELEVATOR,West Elevator Leroy Merlin,VERTICAL,TRANSPORT,B1,BASEMENT,TRUE,0.3706,0.7499,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ELV_W1_F0,ELEVATOR,West Elevator Leroy Merlin,VERTICAL,TRANSPORT,F0,GROUND,TRUE,0.3706,0.7499,,TRUE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ENT_EAST_MAIN,ENTRANCE,East Main Entrance,ENTRY,ENTRANCE,F0,GROUND,FALSE,0.6656,0.2169,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ENT_NORTH_MAIN,ENTRANCE,North Main Entrance,ENTRY,ENTRANCE,F0,GROUND,FALSE,0.3516,0.0549,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ENT_PARKING_1,ENTRANCE,Parking Entrance Main,ENTRY,ENTRANCE,F0,GROUND,FALSE,0.7676,0.7109,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ENT_PARKING_2,ENTRANCE,Parking Entrance West,ENTRY,ENTRANCE,F0,GROUND,FALSE,0.2026,0.7989,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ENT_PARKING_3,ENTRANCE,Parking Entrance NE,ENTRY,ENTRANCE,F0,GROUND,FALSE,0.4916,0.1069,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ENT_PARKING_4,ENTRANCE,Parking Entrance SE,ENTRY,ENTRANCE,F1,GROUND,FALSE,0.997,0.3579,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ENT_SOUTH_MAIN,ENTRANCE,South Main Entrance,ENTRY,ENTRANCE,B1,BASEMENT,FALSE,0.7946,0.6119,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ENT_WEST_MAIN,ENTRANCE,West Main Entrance,ENTRY,ENTRANCE,F0,GROUND,FALSE,0.4916,0.8379,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
ESC_CENTER_B1,ESCALATOR,Central Escalator,VERTICAL,TRANSPORT,B1,BASEMENT,TRUE,0.7156,0.5619,,TRUE,,PRE_SITE_QA,FALSE,FALSE,FALSE,TRUE,
ESC_CENTER_F0,ESCALATOR,Central Escalator,VERTICAL,TRANSPORT,F0,GROUND,TRUE,0.7416,0.5779,,TRUE,,PRE_SITE_QA,FALSE,FALSE,FALSE,TRUE,
ESC_CENTER_FC_F0,ESCALATOR,Central Escalator Foodcourt,VERTICAL,TRANSPORT,B1,BASEMENT,TRUE,0.6416,0.5439,,TRUE,,PRE_SITE_QA,FALSE,FALSE,FALSE,TRUE,
ESC_CENTER_FC_F1,ESCALATOR,Central Escalator Foodcourt,VERTICAL,TRANSPORT,F0,GROUND,TRUE,0.6226,0.5149,,TRUE,,PRE_SITE_QA,FALSE,FALSE,FALSE,TRUE,
