FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS,,,,,,,
COR_EXT_W_S,COR_EXT_W_M5,WALK,TRUE,,,,2026-02-25T21:02:13.452Z,ACTIVE,,,,,,,
COR_EXT_W_M4,COR_EXT_W_M5,WALK,TRUE,,,,2026-02-25T21:02:36.917Z,ACTIVE,,,,,,,
COR_EXT_W_M4,COR_EXT_W_M3,WALK,TRUE,,,,2026-02-25T21:02:40.480Z,ACTIVE,,,,,,,
COR_EXT_W_M3,COR_EXT_W_M2,WALK,TRUE,,,,2026-02-25T21:03:29.136Z,ACTIVE,,,,,,,
COR_EXT_W_M2,COR_EXT_W_M1,WALK,TRUE,,,,2026-02-25T21:03:31.205Z,ACTIVE,,,,,,,
COR_EXT_W_M1,COR_EXT_W_N,WALK,TRUE,,,,2026-02-25T21:03:34.763Z,ACTIVE,,,,,,,
COR_EXT_W_N,EXT_GAS_STATION_PARKING,WALK,TRUE,,,,2026-02-25T21:03:36.301Z,ACTIVE,,,,,,,
COR_EXT_W_M2,ELV_W1_F0,WALK,TRUE,,,,2026-02-25T21:03:43.013Z,ACTIVE,,,,,,,
COR_EXT_W_M2,STR_W1_OUTSIDE_F0,WALK,TRUE,,,,2026-02-25T21:03:45.219Z,ACTIVE,,,,,,,
PARKING_LOT_W,EV_CHARGING_1_F0,WALK,TRUE,,,,2026-02-25T21:03:53.259Z,ACTIVE,,,,,,,
PARKING_LOT_W,COR_EXT_W_M4,WALK,TRUE,,,,2026-02-25T21:05:07.467Z,ACTIVE,,,,,,,
COR_EXT_W_M4,NODE_EXT_W_ENTRANCE,WALK,TRUE,,,,2026-02-25T21:05:10.606Z,ACTIVE,,,,,,,
NODE_EXT_W_ENTRANCE,ENT_W_MAIN,WALK,TRUE,,,,2026-02-25T21:05:16.597Z,ACTIVE,,,,,,,
ENT_W_MAIN,COR_MAIN_W_W,WALK,TRUE,,,,2026-02-25T21:05:20.038Z,ACTIVE,,,,,,,
COR_MAIN_W_W,ATM_F0,WALK,TRUE,,,,2026-02-25T21:05:30.708Z,ACTIVE,,,,,,,
COR_MAIN_W_W,COR_MAIN_W_M1,WALK,TRUE,,,,2026-02-25T21:05:34.177Z,ACTIVE,,,,,,,
COR_EXT_W_M5,STR_W_OUTSIDE_F0,WALK,TRUE,,,,2026-02-25T21:05:43.895Z,ACTIVE,,,,,,,
COR_EXT_W_M5,ELV_W_F0,WALK,TRUE,,,,2026-02-25T21:05:45.774Z,ACTIVE,,,,,,,
COR_MAIN_W_M1,COR_MAIN_W_M2,WALK,TRUE,,,,2026-02-25T21:05:55.806Z,ACTIVE,,,,,,,
COR_MAIN_W_M2,COR_MAIN_W_E,WALK,TRUE,,,,2026-02-25T21:06:03.602Z,ACTIVE,,,,,,,
COR_MAIN_W_E,COR_PLZ_S_S_F0,WALK,TRUE,,,,2026-02-25T21:06:25.882Z,ACTIVE,,,,,,,
COR_MAIN_W_E,COR_PLZ_S_W_F0,WALK,TRUE,,,,2026-02-25T21:06:27.574Z,ACTIVE,,,,,,,
COR_PLZ_S_N_F0,COR_PLZ_S_W_F0,WALK,TRUE,,,,2026-02-25T21:06:31.360Z,ACTIVE,,,,,,,
COR_PLZ_S_N_F0,COR_MAIN_W1_W,WALK,TRUE,,,,2026-02-25T21:06:33.606Z,ACTIVE,,,,,,,
COR_MAIN_W1_W,COR_PLZ_S_E_F0,WALK,TRUE,,,,2026-02-25T21:06:36.417Z,ACTIVE,,,,,,,
COR_PLZ_S_E_F0,COR_PLZ_S_S_F0,WALK,TRUE,,,,2026-02-25T21:06:38.370Z,ACTIVE,,,,,,,
COR_PLZ_S_S_F0,WC_S_F0,WALK,TRUE,,,,2026-02-25T21:06:49.536Z,ACTIVE,,,,,,,
COR_PLZ_S_S_F0,ATM6_F0,WALK,TRUE,,,,2026-02-25T21:06:55.188Z,ACTIVE,,,,,,,
COR_MAIN_W_E,ESC_W_F0,WALK,TRUE,,,,2026-02-25T21:06:59.042Z,ACTIVE,,,,,,,
COR_MAIN_W_E,ATM3_F0,WALK,TRUE,,,,2026-02-25T21:07:00.925Z,ACTIVE,,,,,,,
COR_PLZ_S_E_F0,STR_W_F0,WALK,TRUE,,,,2026-02-25T21:07:05.220Z,ACTIVE,,,,,,,
